Name,Size,Type,Alignment,AC,AC info,Mean HP,HP Dice,Speed,Prof. bonus,STR,DEX,CON,INT,WIS,CHA,Skill Proficiencies,Resistances,Vulnerabilities,Immunities,Conditions Immunity,Senses,Passive Perception,Languages,Trait Name,Trait Description,Action Name,Action Description,Legendary Action Name,Legendary Action Description,CR,Source
Storm Giant Quintessent,H,giant (storm giant),chaotic good,12,,230,20d12+100,"50 ft., fly 50 ft. (hover), swim 50 ft.",5,29,14,20,17,30,19,"Arcana +8, History +8, Perception +10","cold; bludgeoning, piercing, and slashing from nonmagical attacks",,"lightning, thunder",,truesight 60 ft.,20,"Common, Giant",['Amphibious'],['The giant can breathe air and water.'],"['Multiattack', 'Lightning Sword', 'Windjavelin']","['The giant makes two Lightning Sword attacks or uses Wind Javelin twice.', 'Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 40 (9d6+9) lightning damage.', 'The giant coalesces wind into a javeIin-like form and hurls it at a creature it can see within 600 feet of it. The javelin is considered a magic weapon and deals 19 (3d6+9) piercing damage to the target, striking unerringly. The javelin disappears after it hits.']","['Legendary Actions (3/Turn)', 'Gust', 'Thunderbolt (2 Actions)', 'One with the Storm (3 Actions)']","['The giant can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. The giant regains spent legendary actions at the start of its turn.', 'The giant targets a creature it can see within 60 feet of it and creates a magical gust of wind around it. The target must succeed on a DC 18 Strength saving throw or be pushed up to 20 feet in any horizontal direction the giant chooses.', 'The giant hurls a thunderbolt at a creature it can see within 600 feet of it. The target must make a DC 18 Dexterity saving throw, taking 22 (4d10) thunder damage on a failed save, or half as much damage on a successful one.', ""The giant vanishes, dispersing itself into the storm surrounding its lair. The giant can end this effect at the start of any of its turns, becoming a giant once more and appearing in any location it chooses within its lair. While dispersed, the giant can't take any actions other than lair actions, and it can’t be targeted by attacks, spells, or other effects. The giant can’t use this ability outside its lair, nor can it use this ability if another creature is using a control weather spell or similar magic to quell the storm.""]",16.0, Volo's Guide
Strahd Zombie,M,undead,unaligned,8,,30,4d8+12,20 ft.,2,13,6,16,3,6,5,,,,poison,poisoned,darkvision 60 ft.,8,understands the languages it knew in life but can't speak,['Loathsome Limbs'],"['Whenever the zombie takes at least 5 bludgeoning or slashing damage at one time, roll a d20 to determine what else happens to it: ', None, '1-8: One leg is severed from the zombie if it has any legs left.', None, '9-16: One arm is severed from the zombie if it has any arms left.', None, '17-20: The zombie is decapitated.', None, ""\tIf the zombie is reduced to 0 hit points, all parts of it die. Until then, a severed part acts on the zombie's initiative and has its own action and movement. A severed part has AC 8. Any damage it takes is subtracted from the zombie's hit points."", '\tA severed leg is unable to attack and has a speed of 5 feet.', '\tA severed arm has a speed of 5 feet and can make one claw attack on its turn, with disadvantage on the attack roll. Each time the zombie loses an arm, it loses a claw attack.', '\tIf its head is severed, the zombie loses its bite attack and its body is blinded unless the head can see it. The severed head has a speed of 0 feet. It can make a bite attack but only against a target in its space.', ""\tThe zombie's speed is halved if it's missing a leg. If it loses both legs, it falls prone. If it has both arms, it can crawl. With only one arm, it can still crawl, but its speed is halved. With no arms or legs, its speed is 0, and it can't benefit from bonuses to speed.""]","['Multiattack', 'Bite', 'Claw']","['The zombie makes three attacks: one with its bite and two with its claws.', 'Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4+1) piercing damage.', 'Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6+1) slashing damage.']",[],[],1.0, curse of strahd
Strahd von Zarovich,M,undead (shapechanger),lawful evil,16,natural armor,144,17d8+68,30 ft.,5,18,18,18,20,15,18,"Arcana +15, Perception +12, Religion +10, Stealth +14","necrotic; bludgeoning, piercing, and slashing from nonmagical attacks",,,,darkvision 120 ft.,22,"Abyssal, Common, Draconic, Elvish, Giant, Infernal","['Shapechanger', 'Legendary Resistance (3/Day)', 'Misty Escape', 'Regeneration', 'Spellcasting', 'Spider Climb', 'Vampire Weaknesses']","[""If Strahd isn't in running water or sunlight, he can use his action to polymorph into a Tiny bat, a Medium wolf, or a Medium cloud of mist, or back into his true form."", ""\tWhile in bat or wolf form, Strahd can't speak. In bat form, his walking speed is 5 feet, and he has a flying speed of 30 feet. In wolf form, his walking speed is 40 feet. His statistics, other than his size and speed, are unchanged. Anything he is wearing transforms with him, but nothing he is carrying does. He reverts to his true form if he dies."", ""\tWhile in mist form, Strahd can't take any actions, speak, or manipulate objects. He is weightless, has a flying speed of 30 feet, can hover, and can enter a hostile creature's space and stop there. In addition, if air can pass through a space, the mist can do so without squeezing, and he can't pass through water. He has advantage on Strength, Dexterity, and Constitution saving throws, and it is immune to all nonmagical damage, except the damage he takes from sunlight."", 'If Strahd fails a saving throw, he can choose to succeed instead.', ""When he drops to 0 hit points outside his coffin, Strahd transforms into a cloud of mist (as in the Shapechanger trait) instead of falling unconscious, provided that he isn't in running water or sunlight. If he can't transform, he is destroyed."", ""\tWhile he has 0 hit points in mist form, he can't revert to his vampire form, and he must reach his coffin within 2 hours or be destroyed. Once in his coffin, he reverts to his vampire form. He is then paralyzed until he regains at least 1 hit point. After spending 1 hour in his coffin with 0 hit points, he regains 1 hit point."", ""Strahd regains 20 hit points at the start of his turn if he has at least 1 hit point and isn't in running water or sunlight. If he takes radiant damage or damage from holy water, this trait doesn't function at the start of his next turn."", 'Strahd is a 9th-level spellcaster. His spellcasting ability is Intelligence (spell save DC 18, +10 to hit with spell attacks). Strahd has the following wizard spells prepared:', None, '• Cantrips (at will): mage hand, prestidigitation, ray of frost', None, '•1st level (4 slots): comprehend languages, fog cloud, sleep', None, '•2nd level (3 slots): detect thoughts, gust of wind, mirror image', None, '•3rd level (3 slots): animate dead, fireball, nondetection', None, '•4th level (3 slots): blight, greater invisibility, polymorph', None, '•5th level (1 slot): animate objects, scrying', 'Strahd can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.', 'Strahd has the following flaws. ', ""\tForbiddance: He can't enter a residence without an invitation from one of the occupants."", '\tHarmed by Running Water: He takes 20 acid damage if he ends his turn in running water.', '\tStake to the Heart: If a piercing weapon made of wood is driven into his heart while he is incapacitated in his coffin, he is paralyzed until the stake is removed.', '\tSunlight Hypersensitivity: While in sunlight, Strahd takes 20 radiant damage at the start of his turn, and he has disadvantage on attack rolls and ability checks.']","['Multiattack (Vampire Form Only)', 'Unarmed Strike (Vampire Form Only)', 'Bite (Bat or Vampire Form Only)', 'Charm', 'Children of the Night (1/day)']","['Strahd makes two attacks, only one of which can be a bite attack.', 'Melee Weapon Attack: +9 to hit, reach 5 ft., one creature. Hit: 8 (1d8+4) bludgeoning damage, plus 14 (4d6) necrotic damage. If the target is a creature, Strahd can grapple it (escape DC 18) instead of dealing the bludgeoning damage.', ""Melee Weapon Attack: +9 to hit, reach 5 ft., one willing creature, or a creature that is grappled by Strahd, incapacitated, or restrained. Hit: 7 (1d6+4) piercing damage plus 10 (3d6) necrotic damage. The target's hit point maximum is reduced by an amount equal to the necrotic damage taken, and Strahd regains hit points equal to that amount. The reduction lasts until the target finishes a long rest. The target dies if  its hit point maximum is reduced to 0. A humanoid slain in this way and then buried in the ground rises the following night as a vampire spawn under Strahd's control."", ""Strahd targets one humanoid he can see within 30 ft. of him. If the target can see Strahd, the target must succeed on a DC 17 Wisdom saving throw against this magic or be charmed. The charmed target regards Strahd as a trusted friend to be heeded and protected. The target isn't under Strahd's control, but it takes Strahd's requests and actions in the most favorable way and lets Strahd bite it."", '\tEach time Strahd or his companions do anything harmful to the target, it can repeat the saving throw, ending the effect on itself on a success. Otherwise, the effect lasts 24 hours or until Strahd is destroyed, is on a different plane of existence than the target, or takes a bonus action to end the effect.', ""Strahd magically calls 2d4 swarms of bats or swarms rats, provided that the sun isn't up. While outdoors, Strahd can call 3d6 wolves instead. The called creatures arrive in 1d4 rounds, acting as allies of Strahd and obeying his spoken commands. The beasts remain for 1 hour, until Strahd dies, or until he dismisses them as a bonus action.""]","[None, 'Move', 'Unarmed Strike', 'Bite (Costs 2 Actions)']","[""Strahd can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature's turn. Strahd regains spent legendary actions at the start of his turn."", 'Strahd moves up to his speed without provoking opportunity attacks.', 'Strahd makes one unarmed strike.', 'Strahd makes one bite attack.']",15.0, curse of strahd
Strahd's Animated Armor,M,construct,lawful evil,21,natural armor,112,15d8+45,30 ft.,3,17,13,16,9,10,9,Perception +3,"cold, fire",,"lightning, poison","blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned",blindsight 60 ft. (blind beyond this radius),13,understands Common but can't speak,"['Constructed Nature', 'Antimagic Susceptibility', 'False Appearance']","[""An animated object doesn't require air, food, drink, or sleep."", '\tThe magic that animates an object is dispelled when the construct drops to 0 hit points. An animated object reduced to 0 hit points becomes inanimate and is too damaged to be of much use or value to anyone.', ""The armor is incapacitated while in the area of an antimagic field. If targeted by dispel magic, the armor must succeed on a Constitution saving throw against the caster's spell save DC or fall unconscious for 1 minute."", 'While the armor remains motionless, it is indistinguishable from a normal suit of armor.']","['Multiattack', 'Greatsword', 'Shocking Bolt']","['The armor makes two melee attacks or uses Shocking Bolt twice.', 'Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 10 (2d6+3) slashing damage plus 3 (1d6) lightning damage.', 'Ranged Spell Attack: +4 to hit (with advantage on the attack roll if the target is wearing armor made of metal), range 60 ft., one target. Hit: 10 (3d6) lightning damage.']",[],[],6.0, curse of strahd
Succubus/Incubus,M,fiend (shapechanger),neutral evil,15,natural armor,66,12d8+12,"30 ft., fly 60 ft.",2,8,17,13,15,12,20,"Deception +9, Insight +5, Perception +5, Persuasion +9, Stealth +7","cold, fire, lightning, poison, bludgeoning, piercing, and slashing from nonmagical weapons",,,,darkvision 60 ft.,15,"Abyssal, Common, Infernal, telepathy 60 ft.","['Telepathic Bond', 'Shapechanger']","[""The fiend ignores the range restriction on its telepathy when communicating with a creature it has charmed. The two don't even need to be on the same plane of existence."", ""The fiend can use its action to polymorph into a Small or Medium humanoid, or back into its true form. Without wings, the fiend loses its flying speed. Other than its size and speed, its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.""]","['Thunderous Stomp (Recharge 6)', 'Claw (Fiend Form Only)', 'Charm', 'Draining Kiss', 'Etherealness']","[""The storm giant stomps the ground, triggering a thunderclap. All other creatures within 15 feet of the giant must succeed on a DC 17 Constitution saving throw or take 33 (6d10) thunder damage and be deafened until the start of the giant's next turn. On a successful save, a creature takes half as much damage and isn't deafened. The thunderclap can be heard out to a range of 1,200 feet."", 'Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.', ""One humanoid the fiend can see within 30 feet of it must succeed on a DC 15 Wisdom saving throw or be magically charmed for 1 day. The charmed target obeys the fiend's verbal or telepathic commands. If the target suffers any harm or receives a suicidal command, it can repeat the saving throw, ending the effect on a success. If the target successfully saves against the effect, or if the effect on it ends, the target is immune to this fiend's Charm for the next 24 hours."", 'The fiend can have only one target charmed at a time. If it charms another, the effect on the previous target ends.', ""The fiend kisses a creature charmed by it or a willing creature. The target must make a DC 15 Constitution saving throw against this magic, taking 32 (5d10 + 5) psychic damage on a failed save, or half as much damage on a successful one. The target's hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0."", 'The fiend magically enters the Ethereal Plane from the Material Plane, or vice versa.']",[],[],4.0, monster manual
Swarm of Bats,M,swarm of Tiny beasts,unaligned,12,,22,5d8,"0 ft., fly 30 ft.",2,5,15,10,2,12,4,,"bludgeoning, piercing, slashing",,,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned",blindsight 60 ft.,11,,"['Echolocation', 'Keen Hearing', 'Swarm']","[""The swarm can't use its blindsight while deafened."", 'The swarm has advantage on Wisdom (Perception) checks that rely on hearing.', ""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny bat. The swarm can't regain hit points or gain temporary hit points.""]",['Bites'],"[""Melee Weapon Attack: +4 to hit, reach 0 ft., one creature in the swarm's space. Hit: 5 (2d4) piercing damage, or 2 (1d4) piercing damage if the swarm has half of its hit points or fewer.""]",[],[],0.25, monster manual
Swarm of Beetles,M,swarm of Tiny beasts,unaligned,12,natural armor,22,5d8,"20 ft., burrow 5 ft., climb 20 ft.",2,3,13,10,1,7,1,,"bludgeoning, piercing, slashing",,,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned",blindsight 10 ft.,8,,['Swarm'],"[""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points.""]",['Bites'],"[""Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer.""]",[],[],0.5, monster manual
Swarm of Centipedes,M,swarm of Tiny beasts,unaligned,12,natural armor,22,5d8,"20 ft., climb 20 ft.",2,3,13,10,1,7,1,,"bludgeoning, piercing, slashing",,,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned",blindsight 10 ft.,8,,['Swarm'],"[""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points.""]",['Bites'],"[""Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer."", 'A creature reduced to 0 hit points by a swarm of centipedes is stable but poisoned for 1 hour, even after regaining hit points, and paralyzed while poisoned in this way.']",[],[],0.5, monster manual
Swarm of Cranium Rats,M,swarm of Tiny beasts,lawful evil,12,,36,8d8,30 ft.,3,9,14,10,15,11,14,,"bludgenoning, piercing, slashing",,,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned",darkvision 30 ft.,10,telepathy 30 ft.,"['Illumination', 'Innate Spellcasting (Psionics)', 'Swarm', 'Telepathic Shroud']","['As a bonus action, the swarm can shed dim light from its brains in a 5-foot radius, increase the illumination to bright light in a 5- to 20-foot radius (and dim light for an additional number of feet equal to the chosen radius), or extinguish the light.', ""The swarm's innate spellcasting ability is Intelligence (spell save DC 13). As long as it has more than half of its hit points, it can innately cast the following spells, requiring no components::"", '\t ', '• At will: command, comprehend languages, detect thoughts', '\t ', '• 1/day each: confusion, dominate monster', 'The swarm can occupy another creature’s space and vice versa, and the swarm can move through any opening large enough for a Tiny rat. The swarm can’t regain hit points or gain temporary hit points.', 'The swarm is immune to any effect that would sense its emotions or read its thoughts. as well as to all divination spells.']",['Bites'],"['Melee Weapon Attack: +5 to hit, reach 0 ft., one target in the swarm’s space. Hit: 14 (4d6) piercing damage, or 7 (2d6) piercing damage if the swarm has half of its hit points or fewer.']",[],[],5.0, Volo's Guide
Swarm of Insects,M,swarm of Tiny beasts,unaligned,12,natural armor,22,5d8,"20 ft., climb 20 ft.",2,3,13,10,1,7,1,,"bludgeoning, piercing, slashing",,,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned",blindsight 10 ft.,8,,['Swarm'],"[""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points.""]",['Bites'],"[""Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer.""]",[],[],0.5, monster manual
Swarm of Poisonous Snakes,M,swarm of Tiny beasts,unaligned,14,,36,8d8,"30 ft., swim 30 ft.",2,8,18,11,1,10,3,,"bludgeoning, piercing, slashing",,,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned",blindsight 10 ft.,10,,['Swarm'],"[""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny snake. The swarm can't regain hit points or gain temporary hit points.""]",['Bites'],"[""Melee Weapon Attack: +6 to hit, reach 0 ft., one creature in the swarm's space. Hit: 7 (2d6) piercing damage, or 3 (1d6) piercing damage if the swarm has half of its hit points or fewer. The target must make a DC 10 Constitution saving throw, taking 14 (4d6) poison damage on a failed save, or half as much damage on a successful one.""]",[],[],2.0, monster manual
Swarm of Quippers,M,swarm of Tiny beasts,unaligned,13,,28,8d8-8,"0 ft., swim 40 ft.",2,13,16,9,1,7,2,,"bludgeoning, piercing, slashing",,,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned",darkvision 60 ft.,8,,"['Blood Frenzy', 'Swarm', 'Water Breathing']","[""The swarm has advantage on melee attack rolls against any creature that doesn't have all its hit points."", ""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny quipper. The swarm can't regain hit points or gain temporary hit points."", 'The swarm can breathe only underwater.']",['Bites'],"[""Melee Weapon Attack: +5 to hit, reach 0 ft., one creature in the swarm's space. Hit: 14 (4d6) piercing damage, or 7 (2d6) piercing damage if the swarm has half of its hit points or fewer.""]",[],[],1.0, monster manual
Swarm of Rats,M,swarm of Tiny beasts,unaligned,10,,24,7d8-7,30 ft.,2,9,11,9,2,10,3,,"bludgeoning, piercing, slashing",,,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned",darkvision 30 ft.,10,,"['Keen Smell', 'Swarm']","['The swarm has advantage on Wisdom (Perception) checks that rely on smell.', ""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny rat. The swarm can't regain hit points or gain temporary hit points.""]",['Bites'],"[""Melee Weapon Attack: +2 to hit, reach 0 ft., one target in the swarm's space. Hit: 7 (2d6) piercing damage, or 3 (1d6) piercing damage if the swarm has half of its hit points or fewer.""]",[],[],0.25, monster manual
Swarm of Ravens,M,swarm of Tiny beasts,unaligned,12,,24,7d8-7,"10 ft., fly 50 ft.",2,6,14,8,3,12,6,,"bludgeoning, piercing, slashing",,,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned",,15,,['Swarm'],"[""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny raven. The swarm can't regain hit points or gain temporary hit points.""]",['Beaks'],"[""Melee Weapon Attack: +4 to hit, reach 5 ft., one target in the swarm's space. Hit: 7 (2d6) piercing damage, or 3 (1d6) piercing damage if the swarm has half of its hit points or fewer.""]",[],[],0.25, monster manual
Swarm of Rot Grubs,M,swarm of Tiny beasts,unaligned,8,,22,5d8,"5 ft., climb 5 ft.",2,2,7,10,1,2,1,,"piercing, slashing",,,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained",blindsight 10 ft.,6,,['Swarm'],"['The swarm can occupy another creature’s space and vice versa, and the swarm can move through any opening large enough for a Tiny maggot. The swarm can’t regain hit points or gain temporary hit points.']",['Bites'],"[""Melee Weapon Attack: +0 to hit, reach 0 ft., one creature in the swarm’s space. Hit: The target is infested by 1d4 rot grubs. At the start of each of the target’s turns, the target takes 1d6 piercing damage per rot grub infesting it. Applying fire to the bite wound before the end of the target's next turn deals 1 fire damage to the target and kills these rot grubs. After this time, these rot grubs are too far under the skin to be burned. If a target infested by rot grubs ends its turn with 0 hit points, it dies as the rot grubs burrow into its heart and kill it. Any effect that cures disease kills all rot grubs infesting the target.""]",[],[],0.5, Volo's Guide
Swarm of Spiders,M,swarm of Tiny beasts,unaligned,12,natural armor,22,5d8,"20 ft., climb 20 ft.",2,3,13,10,1,7,1,,"bludgeoning, piercing, slashing",,,"charmed, frightened, paralyzed, petrified, prone, restrained, stunned",blindsight 10 ft.,8,,"['Swarm', 'Spider Climb', 'Web Sense', 'Web Walker']","[""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points."", 'The swarm can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.', 'While in contact with a web, the swarm knows the exact location of any other creature in contact with the same web.', 'The swarm ignores movement restrictions caused by webbing.']",['Bites'],"[""Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer.""]",[],[],0.5, monster manual
Swarm of Wasps,M,swarm of Tiny beasts,unaligned,12,natural armor,22,5d8,"5 ft., fly 30 ft.",2,3,13,10,1,7,1,,"bludgeoning, piercing, slashing",,,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned",blindsight 10 ft.,8,,['Swarm'],"[""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points.""]",['Bites'],"[""Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer.""]",[],[],0.5, monster manual
Swashbuckler,M,humanoid (any race),any non-lawful alignment,17,leather armor,66,12d8+12,30 ft.,2,12,18,12,14,11,15,"Acrobatics +8, Athletics +5, Persuasion +6",,,,,,10,any one language (usually Common),"['Lightfooted', 'Suave Defense']","['The swashbuckler can take the Dash or Disengage action as a bonus action on each of its turns.', 'While the swashbuckler is wearing light or no armor and wielding no shield, its AC includes its Charisma modifier.']","['Multiattack', 'Dagger', 'Rapier']","['The swashbuckler makes three attacks: one with a dagger and two with its rapier.', 'Melee or Ranged Weapon Attack: +6 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 6 (1d4+4) piercing damage.', 'Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8+4) piercing damage.']",[],[],3.0, Volo's Guide
Talis the White,M,humanoid (half-elf),lawful evil,18,"scale mail +1, shield",58,9d8+18,30 ft.,3,14,12,14,10,16,16,"Deception +6, Insight +6, Perception +6, Persuasion +6",,,,,darkvision 60 ft.,16,"Common, Draconic, Elvish, Infernal","['Special Equipment', 'Fey Ancestry', 'Spellcasting', 'Winter Strike (3/Day)']","['Talis has +1 scale mail and a wand of winter.', ""Talis has advantage on saving throws against being charmed, and magic can't put her to sleep."", 'Talis is a 9th-level spellcaster that uses Wisdom as her spellcasting ability (spell save DC 14, +6 to hit with spell attacks). Talis has the following spells prepared from the cleric spell list: ', None, '• Cantrips (at will): guidance, resistance, thaumaturgy', '• 1st level (4 slots): command, cure wounds, healing word, inflict wounds', '• 2nd level (3 slots): blindness/deafness, lesser restoration, spiritual weapon (spear) ', '• 3rd level (3 slots): dispel magic, mass healing word, sending', '• 4th level (3 slots): death ward, freedom of movement', '• 5th level (1 slot): insect plague', 'Once per turn, when Talis hits with a melee attack, she can expend a use of this trait to deal an extra 9 (2d8) cold damage.']",['Spear'],"['Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or ranged 20 ft./60 ft., one target. Hit: 6 (1d6 + 2) piercing damage.']",[],[],5.0, tyranny of dragons
Tanarukk,M,fiend (demon,chaotic evil,14,natural armor,95,10d8+50,30 ft.,3,18,13,20,9,9,9,"Intimidation +2, Perception +2","fire, poison",,,,darkvision 60 ft.,12,"Abyssal, Common, Orc","['Aggressive', 'Magic Resistance']","['As a bonus action, the tanarukk can move up to its speed toward a hostile creature that it can see.', 'The tanarukk has advantage on saving throws against spells and other magical effects.']","['Multiattack', 'Bite', 'Greatsword']","['The tanarukk makes two attacks: one with its bite and one with its greatsword.', 'Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 8 (1d8+4) piercing damage.', 'Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6+4) slashing damage.']",[],[],5.0, orc)
Tarrasque,G,monstrosity (titan),unaligned,25,natural armor,676,33d20+330,40 ft.,9,30,11,30,3,11,11,,,,"fire, poison, bludgeoning, piercing, and slashing from nonmagical weapons","charmed, frightened, paralyzed, poisoned",blindsight 120 ft.,10,,"['Legendary Resistance (3/Day)', 'Magic Resistance', 'Reflective Carapace', 'Siege Monster']","['If the tarrasque fails a saving throw, it can choose to succeed instead.', 'The tarrasque has advantage on saving throws against spells and other magical effects.', 'Any time the tarrasque is targeted by a magic missile spell, a line spell, or a spell that requires a ranged attack roll, roll a d6. On a 1 to 5, the tarrasque is unaffected. On a 6, the tarrasque is unaffected, and the effect is reflected back at the caster as though it originated from the tarrasque, turning the caster into the target.', 'The tarrasque deals double damage to objects and structures.']","['Multiattack', 'Bite', 'Claw', 'Horns', 'Tail', 'Frightful Presence', 'Swallow']","['The tarrasque can use its Frightful Presence. It then makes five attacks: one with its bite, two with its claws, one with its horns, and one with its tai l. It can use its Swallow instead of its bite.', ""Melee Weapon Attack: +19 to hit, reach 10 ft., one target. Hit: 36 (4d12 + 10) piercing damage. If the target is a creature, it is grappled (escape DC 20). Until this grapple ends, the target is restrained, and the tarrasque can't bite another target."", 'Melee Weapon Attack: +19 to hit, reach 15 ft., one target. Hit: 28 (4d8 + 10) slashing damage.', 'Melee Weapon Attack: +19 to hit, reach 10 ft., one target. Hit: 32 (4d10 + 10) piercing damage.', 'Melee Weapon Attack: +19 to hit, reach 20 ft., one target. Hit: 24 (4d6 + 10) bludgeoning damage. If the target is a creature, it must succeed on a DC 20 Strength saving throw or be knocked prone.', ""Each creature of the tarrasque's choice within 120 feet of it and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, with disadvantage if the tarrasque is within line of sight, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the tarrasque's Frightful Presence for the next 24 hours."", ""The tarrasque makes one bite attack against a Large or smaller creature it is grappling. If the attack hits, the target takes the bite's damage, the target is swallowed, and the grapple ends. While swallowed, the creature is blinded and restrained, it has total cover against attacks and other effects outside the tarrasque, and it takes 56 (16d6) acid damage at the start of each of the tarrasque's turns."", 'If the tarrasque takes 60 damage or more on a single turn from a creature inside it, the tarrasque must succeed on a DC 20 Constitution saving throw at the end of that turn or regurgitate all swallowed creatures, which fall prone in a space within 10 feet of the tarrasque. If the tarrasque dies, a swallowed creature is no longer restrained by it and can escape from the corpse by using 30 feet of movement, exiting prone.']","['Attack', 'Move', 'Chomp (Costs 2 Actions)']","['The tarrasque makes one claw attack or tail attack.', 'The tarrasque moves up to half its speed.', 'The tarrasque makes one bite attack or uses its Swallow.']",30.0, monster manual
